input_sku,input_ean,input_name,source_api_sku,source_api_ean,source_api_name,source_currency,source_price_diamond,source_price_path,source_stock,source_stock_path,source_stock_status,plenty_item_id,plenty_variation_id,plenty_variation_number,plenty_match_method,plenty_old_purchase_price,plenty_target_purchase_price,purchase_price_status,plenty_old_stock,plenty_target_stock,stock_delta,source_frontend_stock_url,source_frontend_stock_status,plenty_old_stock_global,stock_status_active,stock_status_global,stock_verified_active,stock_verified_global,stock_verify_status,stock_verify_attempts,stock_status,plenty_sales_price_id,plenty_target_sales_price,sales_price_status,source_status,plenty_status,overall_status,error,fetched_at_utc,synced_at_utc,cycle,attempts_total
125848,5906717400964,Socken frotte 2 st.,125848,5906717400964,Socken frotte 2 st.,EUR,7.12,extension_attributes.final_price,495.0,frontend.Auf_Lager,PRODUCT_PAYLOAD,,,,,,,,,,,https://b2b.activeshop.com.pl/de/socken-frotte-2-st.html,FRONTEND_AUF_LAGER,,,,,,,,,,,,OK,PLENTY_VARIATION_NOT_FOUND,PLENTY_MATCH_ERROR,SKU/EAN ile Plenty varyasyonu bulunamadi.,2026-09-03T22:29:48.177556+00:00,,16,31
131872,5906717431791,Handbrause für Friseur-Waschbecken schwarz,131872,5906717431791,Handbrause für Friseur-Waschbecken schwarz,EUR,13.71,extension_attributes.final_price,788.0,frontend.Auf_Lager,PRODUCT_PAYLOAD,1544,2797,131872,numberExact,13.71,,DISABLED,792.0,788.0,-4.0,https://b2b.activeshop.com.pl/de/handbrause-fur-friseur-waschbecken-schwarz.html,FRONTEND_AUF_LAGER,789.0,MISMATCH,VERIFIED,791.0,788.0,MISMATCH,3,MISMATCH,,,DISABLED,OK,FOUND,STOCK_MISMATCH,"Stok eslesmedi: hedef=788, Active Shop=791, Global Lager=788, deneme=3",2026-09-03T06:57:35.191908+00:00,2026-09-03T06:57:36.454699+00:00,15,28
129327,5906717428234,Gerät Elegante Platinum T8 Anti-Aging & Body-Shaping System,129327,5906717428234,,EUR,,,90.0,frontend.Auf_Lager,PRODUCT_PAYLOAD,,,,,,,,,,,https://b2b.activeshop.com.pl/de/gabbiano-hocker-florenz-schwarz.html,FRONTEND_AUF_LAGER_SEARCH,,,,,,,,,,,,OK,PLENTY_VARIATION_NOT_FOUND,PLENTY_MATCH_ERROR,SKU/EAN ile Plenty varyasyonu bulunamadi.,2026-09-03T07:32:14.094623+00:00,,15,42
148122,5906717457258,Elegantes Platin T8108 Air Pressure Gerät,148122,5906717457258,Elegantes Platin T8108 Air Pressure Gerät,EUR,705.52,extension_attributes.final_price,52.0,frontend.Auf_Lager,PRODUCT_PAYLOAD,,,,,,,,,,,https://b2b.activeshop.com.pl/de/elegantes-platin-t8108-air-pressure-gerat.html,FRONTEND_AUF_LAGER,,,,,,,,,,,,OK,PLENTY_VARIATION_NOT_FOUND,PLENTY_MATCH_ERROR,SKU/EAN ile Plenty varyasyonu bulunamadi.,2026-09-03T14:42:35.812649+00:00,,15,28
151032,5906717463105,Kosmetiktisch Momo L03 mit Staubabscheider,151032,5906717463105,,EUR,,,69.0,frontend.Auf_Lager,PRODUCT_PAYLOAD,,,,,,,,,,,https://b2b.activeshop.com.pl/de/momo-04-sl-kosmetiktisch.html,FRONTEND_AUF_LAGER_SEARCH,,,,,,,,,,,,OK,PLENTY_VARIATION_NOT_FOUND,PLENTY_MATCH_ERROR,SKU/EAN ile Plenty varyasyonu bulunamadi.,2026-09-03T17:31:11.344064+00:00,,15,42
154481,5906717467400,Saeyang Nagelfräser Marathon 3 Champion NEW white + H200,154481,5906717467400,Saeyang Nagelfräser Marathon 3 Champion NEW white + H200,EUR,90.0,extension_attributes.final_price,3534.0,frontend.Auf_Lager,PRODUCT_PAYLOAD,,,,,,,,,,,https://b2b.activeshop.com.pl/de/saeyang-nagelfraser-marathon-3-champion-new-white-h200.html,FRONTEND_AUF_LAGER,,,,,,,,,,,,OK,PLENTY_VARIATION_NOT_FOUND,PLENTY_MATCH_ERROR,SKU/EAN ile Plenty varyasyonu bulunamadi.,2026-09-03T18:31:00.026945+00:00,,15,30
154483,5906717467417,Saeyang Nagelfräser Marathon 3 Champion NEW schwarz + H200,154483,5906717467417,Saeyang Nagelfräser Marathon 3 Champion NEW schwarz + H200,EUR,90.0,extension_attributes.final_price,2271.0,frontend.Auf_Lager,PRODUCT_PAYLOAD,,,,,,,,,,,https://b2b.activeshop.com.pl/de/saeyang-nagelfraser-marathon-3-champion-new-schwarz-h200.html,FRONTEND_AUF_LAGER,,,,,,,,,,,,OK,PLENTY_VARIATION_NOT_FOUND,PLENTY_MATCH_ERROR,SKU/EAN ile Plenty varyasyonu bulunamadi.,2026-09-03T18:32:11.701395+00:00,,15,52
155513,5906717470417,Saeyang Nagelfräser Marathon 3 Champion NEW white + SH37LN,155513,5906717470417,Saeyang Nagelfräser Marathon 3 Champion NEW white + SH37LN,EUR,92.5,extension_attributes.final_price,438.0,frontend.Auf_Lager,PRODUCT_PAYLOAD,,,,,,,,,,,https://b2b.activeshop.com.pl/de/saeyang-nagelfraser-marathon-3-champion-new-white-sh37ln.html,FRONTEND_AUF_LAGER,,,,,,,,,,,,OK,PLENTY_VARIATION_NOT_FOUND,PLENTY_MATCH_ERROR,SKU/EAN ile Plenty varyasyonu bulunamadi.,2026-09-03T18:48:37.692105+00:00,,15,34
155765,5906717471445,Saeyang Nagelfräser Marathon 3 Champion NEW schwarz + SH37LN,155765,5906717471445,Saeyang Nagelfräser Marathon 3 Champion NEW schwarz + SH37LN,EUR,92.5,extension_attributes.final_price,354.0,frontend.Auf_Lager,PRODUCT_PAYLOAD,,,,,,,,,,,https://b2b.activeshop.com.pl/de/saeyang-nagelfraser-marathon-3-champion-new-schwarz-sh37ln.html,FRONTEND_AUF_LAGER,,,,,,,,,,,,OK,PLENTY_VARIATION_NOT_FOUND,PLENTY_MATCH_ERROR,SKU/EAN ile Plenty varyasyonu bulunamadi.,2026-09-03T18:48:43.196892+00:00,,15,34
155248,5906717468728,Barberstuhl Gabbiano President rosa mit schwarzem Gestell,155248,5906717468728,Barberstuhl Gabbiano President rosa mit schwarzem Gestell,EUR,374.75,extension_attributes.final_price,10.0,frontend.Auf_Lager,PRODUCT_PAYLOAD,,,,,,,,,,,https://b2b.activeshop.com.pl/de/barberstuhl-gabbiano-president-rosa-mit-schwarzem-gestell.html,FRONTEND_AUF_LAGER,,,,,,,,,,,,OK,PLENTY_VARIATION_NOT_FOUND,PLENTY_MATCH_ERROR,SKU/EAN ile Plenty varyasyonu bulunamadi.,2026-09-03T19:28:21.709025+00:00,,15,34
