input_sku,input_ean,input_name,source_api_sku,source_api_ean,source_api_name,source_currency,source_price_diamond,source_price_path,source_stock,source_stock_path,source_stock_status,plenty_item_id,plenty_variation_id,plenty_variation_number,plenty_match_method,plenty_old_purchase_price,plenty_target_purchase_price,purchase_price_status,plenty_old_stock,plenty_target_stock,stock_delta,stock_status,plenty_sales_price_id,plenty_target_sales_price,sales_price_status,source_status,plenty_status,overall_status,error,fetched_at_utc,synced_at_utc,cycle,attempts_total
106977,5906717404870,Fussbadewanne mit massagefunktion,106977,5906717404870,,EUR,,,0.0,stock_flag,PRODUCT_PAYLOAD,778,1869,106977,numberExact,129.88,,SOURCE_PRICE_MISSING,,,,DISABLED,8,,SOURCE_PRICE_MISSING,OK,FOUND,PARTIAL_ERROR,ActiveShop Price Diamond bulunamadi,2026-08-28T13:22:18.766155+00:00,2026-08-28T13:22:19.186985+00:00,18,3
108106,5906717425585,Beistellwagen kombi ii weiss,108106,5906717425585,,EUR,,,0.0,stock_flag,PRODUCT_PAYLOAD,794,1890,108106,numberExact,70.28,,SOURCE_PRICE_MISSING,,,,DISABLED,8,,SOURCE_PRICE_MISSING,OK,FOUND,PARTIAL_ERROR,ActiveShop Price Diamond bulunamadi,2026-08-28T13:23:58.747296+00:00,2026-08-28T13:23:59.235223+00:00,18,3
111451,5906717406553,Snippex nagelhautzange 11cm / 5mm,111451,5906717406553,,EUR,,,0.0,stock_flag,PRODUCT_PAYLOAD,816,1922,111451,numberExact,3.61,,SOURCE_PRICE_MISSING,,,,DISABLED,8,,SOURCE_PRICE_MISSING,OK,FOUND,PARTIAL_ERROR,ActiveShop Price Diamond bulunamadi,2026-08-28T13:27:26.651842+00:00,2026-08-28T13:27:27.669556+00:00,18,3
112371,5906717406690,Gabbiano barberstuhl royal schwarz,112371,5906717406690,,EUR,,,0.0,stock_flag,PRODUCT_PAYLOAD,845,1959,112371,numberExact,400.0,,SOURCE_PRICE_MISSING,,,,DISABLED,8,,SOURCE_PRICE_MISSING,OK,FOUND,PARTIAL_ERROR,ActiveShop Price Diamond bulunamadi,2026-08-28T13:27:38.802036+00:00,2026-08-28T13:27:39.316045+00:00,18,3
113912,5906717408342,Elektrische Nagelfräser Merc-2000 Weiss,113912,5906717408342,,EUR,,,0.0,stock_flag,PRODUCT_PAYLOAD,894,2028,113912,numberExact,7.0,,SOURCE_PRICE_MISSING,,,,DISABLED,8,,SOURCE_PRICE_MISSING,OK,FOUND,PARTIAL_ERROR,ActiveShop Price Diamond bulunamadi,2026-08-28T13:32:47.550092+00:00,2026-08-28T13:32:48.575462+00:00,18,3
114571,5906717408816,"Wachs-heizgerät dose 400ml, 100w weiss",114571,5906717408816,,EUR,,,0.0,stock_flag,PRODUCT_PAYLOAD,913,2054,114571,numberExact,,,SOURCE_PRICE_MISSING,,,,DISABLED,8,,SOURCE_PRICE_MISSING,OK,FOUND,PARTIAL_ERROR,ActiveShop Price Diamond bulunamadi,2026-08-28T13:33:24.490248+00:00,2026-08-28T13:33:24.961665+00:00,18,3
114948,5906717409097,Hydraulische kosmetikliege a 234c pedi schwarz,114948,5906717409097,,EUR,,,0.0,stock_flag,PRODUCT_PAYLOAD,924,2067,114948,numberExact,215.0,,SOURCE_PRICE_MISSING,,,,DISABLED,8,,SOURCE_PRICE_MISSING,OK,FOUND,PARTIAL_ERROR,ActiveShop Price Diamond bulunamadi,2026-08-28T13:34:55.653781+00:00,2026-08-28T13:34:56.174139+00:00,18,3
115406,8421421103521,Quickepil wachspatrone natural 110g,115406,8421421103521,,EUR,,,0.0,stock_flag,PRODUCT_PAYLOAD,935,2079,115406,numberExact,1.01,,SOURCE_PRICE_MISSING,,,,DISABLED,8,,SOURCE_PRICE_MISSING,OK,FOUND,PARTIAL_ERROR,ActiveShop Price Diamond bulunamadi,2026-08-28T13:35:30.674016+00:00,2026-08-28T13:35:31.179802+00:00,18,3
119781,5906717410086,"Ringlampe ring light 18"" 48w led schwarz + stativ",119781,5906717410086,,EUR,,,0.0,stock_flag,PRODUCT_PAYLOAD,974,2124,119781,numberExact,69.13,,SOURCE_PRICE_MISSING,,,,DISABLED,8,,SOURCE_PRICE_MISSING,OK,FOUND,PARTIAL_ERROR,ActiveShop Price Diamond bulunamadi,2026-08-28T13:38:20.970308+00:00,2026-08-28T13:38:21.439061+00:00,18,3
125823,5906717414497,Gerät elegante 878 3in1 plus mikro+ vacuum + ultraschall + spray,125823,5906717414497,,EUR,,,0.0,stock_flag,PRODUCT_PAYLOAD,1139,2322,125823,numberExact,98.75,,SOURCE_PRICE_MISSING,,,,DISABLED,8,,SOURCE_PRICE_MISSING,OK,FOUND,PARTIAL_ERROR,ActiveShop Price Diamond bulunamadi,2026-08-28T17:11:49.296756+00:00,2026-08-28T17:11:49.801211+00:00,18,6
