input_sku,input_ean,input_name,source_api_sku,source_api_ean,source_api_name,source_currency,source_price_diamond,source_price_path,source_stock,source_stock_path,source_stock_status,plenty_item_id,plenty_variation_id,plenty_variation_number,plenty_match_method,plenty_old_purchase_price,plenty_target_purchase_price,purchase_price_status,plenty_old_stock,plenty_target_stock,stock_delta,stock_status,plenty_sales_price_id,plenty_target_sales_price,sales_price_status,source_status,plenty_status,overall_status,error,fetched_at_utc,synced_at_utc,cycle,attempts_total
105379,5901810000011,Apis-Enzym-Peeling mit Bioenzymen und Meeresalgen 100ml,105379,5901810000011,Apis-Enzym-Peeling mit Bioenzymen und Meeresalgen 100ml,EUR,8.33,extension_attributes.final_price,9.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,749,1826,105379,numberExact,8.33,8.33,NO_CHANGE,,,,DISABLED,8,12.39,UPDATED,OK,FOUND,SYNCED,,2026-08-30T13:46:10.962840+00:00,2026-08-30T13:46:12.583865+00:00,19,4
108616,5901810006525,apis hydro evolution extrem feuchtigkeitsspendende Algenmaske mit Birne und Rhabarber aquaxtrem ™ 250g,108616,5901810006525,apis hydro evolution extrem feuchtigkeitsspendende Algenmaske mit Birne und Rhabarber aquaxtrem ™ 250g,EUR,9.55,extension_attributes.final_price,4.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,750,1827,108616,numberExact,9.55,9.55,NO_CHANGE,,,,DISABLED,8,14.21,UPDATED,OK,FOUND,SYNCED,,2026-08-30T13:46:13.935850+00:00,2026-08-30T13:46:15.470561+00:00,19,4
109094,5906717405396,Elektrische kosmetikliege azzurro 708a 4 motoren weiss,109094,5906717405396,Elektrische kosmetikliege azzurro 708a 4 motoren weiss,EUR,1062.11,extension_attributes.final_price,12.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,751,1828,109094,numberExact,1062.11,1062.11,NO_CHANGE,,,,DISABLED,8,1579.89,UPDATED,OK,FOUND,SYNCED,,2026-08-30T13:46:16.881318+00:00,2026-08-30T13:46:17.910464+00:00,19,6
109237,5906717405648,Friseurwaschbecke Gabbiano Ankara schwarz,109237,5906717405648,Friseurwaschbecke Gabbiano Ankara schwarz,EUR,340.57,extension_attributes.final_price,12.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,752,1829,109237,numberExact,340.57,340.57,NO_CHANGE,,,,DISABLED,8,506.6,UPDATED,OK,FOUND,SYNCED,,2026-08-30T13:46:19.267946+00:00,2026-08-30T13:46:20.337517+00:00,19,4
109403,5906717405921,Gabbiano infrarothaube trockenhaube mit stativ gl-505s grau,109403,5906717405921,Gabbiano infrarothaube trockenhaube mit stativ gl-505s grau,EUR,404.06,extension_attributes.final_price,34.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,753,1830,109403,numberExact,404.06,404.06,NO_CHANGE,,,,DISABLED,8,601.04,UPDATED,OK,FOUND,SYNCED,,2026-08-30T13:46:21.708340+00:00,2026-08-30T13:46:23.812701+00:00,19,4
109519,5906717406072,Gabbiano infrarothaube trockenhaube mit stativ gl-505s silber,109519,5906717406072,Gabbiano infrarothaube trockenhaube mit stativ gl-505s silber,EUR,411.28,extension_attributes.final_price,1.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,753,1835,109519,numberExact,411.28,411.28,NO_CHANGE,,,,DISABLED,8,611.78,UPDATED,OK,FOUND,SYNCED,,2026-08-30T13:46:25.318002+00:00,2026-08-30T13:46:27.469879+00:00,19,4
109615,7610558560982,Valera haartrockner swiss light 5400 fold-away ionic,109615,7610558560982,Valera haartrockner swiss light 5400 fold-away ionic ,EUR,53.37,extension_attributes.final_price,9.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,754,1831,109615,numberExact,53.37,53.37,NO_CHANGE,,,,DISABLED,8,79.39,UPDATED,OK,FOUND,SYNCED,,2026-08-30T13:46:28.917933+00:00,2026-08-30T13:46:29.962660+00:00,19,4
111351,5906717406317,Kosmetikhocker 1025 schwarz giovanni,111351,5906717406317,Kosmetikhocker 1025 schwarz giovanni ,EUR,76.48,extension_attributes.final_price,312.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,755,1836,111351,numberExact,76.48,76.48,NO_CHANGE,,,,DISABLED,8,113.76,UPDATED,OK,FOUND,SYNCED,,2026-08-30T13:46:31.328273+00:00,2026-08-30T13:46:32.884523+00:00,19,4
114485,5906717408748,GABBIANO WASCHSCHÜSSEL WEISS,114485,5906717408748,GABBIANO WASCHSCHÜSSEL WEISS ,EUR,93.8,extension_attributes.final_price,19.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,756,1839,114485,numberExact,93.8,93.8,NO_CHANGE,,,,DISABLED,8,139.53,UPDATED,OK,FOUND,SYNCED,,2026-08-30T13:46:34.404092+00:00,2026-08-30T13:46:36.024213+00:00,19,4
115247,5906717409370,Lupenleuchte led s5 + stativ,115247,5906717409370,Lupenleuchte led s5 + stativ,EUR,43.29,extension_attributes.final_price,13.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,757,1841,115247,numberExact,43.29,43.29,NO_CHANGE,,,,DISABLED,8,64.39,UPDATED,OK,FOUND,SYNCED,,2026-08-30T13:46:37.572221+00:00,2026-08-30T13:46:39.101947+00:00,19,4
